year,title,imdb_rating,imdb_rating_0_1,num_imdb_ratings,mpaa_rating,run_time_min,budget,domgross,intgross,budget_2013,domgross_2013,intgross_2013
2013,Rush,8.1,0.8099999999999999,348215,R,123,38000000,26947624,43047624,38000000,26947624,43047624
2013,Safe Haven,6.7,0.67,86867,PG-13,115,28000000,71399120,93943623,28000000,71399120,93943623
2013,Saving Mr. Banks,7.5,0.75,127859,PG-13,125,35000000,82834332,100734332,35000000,82834332,100734332
2013,Side Effects,7.1,0.71,157048,R,106,30000000,32172757,60288363,30000000,32172757,60288363
2013,Star Trek Into Darkness,7.8,0.78,423008,PG-13,132,190000000,228778661,466978661,190000000,228778661,466978661
2013,Texas Chainsaw 3D,4.8,0.48,37867,R,92,20000000,34341945,39093317,20000000,34341945,39093317
2013,The Big Wedding,5.6,0.5599999999999999,40552,R,89,32500000,21819348,35770721,32500000,21819348,35770721
2013,The Book Thief,7.6,0.76,108551,PG-13,131,19000000,21345525,62045525,19000000,21345525,62045525
2013,The Call,6.7,0.67,95327,R,94,13000000,51872378,58938768,13000000,51872378,58938768
2013,The Conjuring,7.5,0.75,340748,R,112,20000000,137400141,318000141,20000000,137400141,318000141
2013,The Counselor,5.3,0.53,86209,R,117,25000000,16973715,70373715,25000000,16973715,70373715
2013,The Croods,7.2,0.72,162850,PG,98,135000000,187168425,573068425,135000000,187168425,573068425
2013,The Family,6.3,0.63,94883,R,111,30000000,36918811,51078541,30000000,36918811,51078541
2013,The Fifth Estate,6.2,0.62,32479,R,128,26000000,3254172,6154172,26000000,3254172,6154172
2013,The Frozen Ground,6.4,0.64,46942,R,105,19200000,NA,NA,19200000,NA,NA
2013,The Great Gatsby,7.3,0.73,393359,PG-13,143,190000000,144840419,351040419,190000000,144840419,351040419
2013,The Hangover part 3,5.9,0.5900000000000001,244542,R,100,103000000,112200072,362000072,103000000,112200072,362000072
2013,The Heat,6.6,0.6599999999999999,142238,R,117,43000000,159581587,230781587,43000000,159581587,230781587
2013,The Hobbit: The Desolation of Smaug,7.9,0.79,523148,PG-13,161,250000000,257397516,937397516,250000000,257397516,937397516
2013,The Host,5.9,0.5900000000000001,98389,PG-13,125,50000000,26623701,58188384,50000000,26623701,58188384
2013,The Hunger Games: Catching Fire,7.6,0.76,534288,PG-13,146,130000000,424088260,857088260,130000000,424088260,857088260
2013,The Incredible Burt Wonderstone,5.9,0.5900000000000001,63569,PG-13,100,32000000,22537881,24255957,32000000,22537881,24255957
